,state,gender,customer_lifetime_value,number_of_open_complaints,response,coverage,education,effective_to_date,employmentstatus,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,region_mapped,month,date
0,Arizona,M,4809.21696,0.0,No,Basic,College,2011-02-18,Employed,48029.0,Suburban,Married,61,7.0,52,9,Corporate Auto,Corporate L3,Offer3,Agent,292.8,Four-Door Car,Medsize,0,central,February,2011-02-18
1,California,F,2228.525238,0.0,No,Basic,College,2011-01-18,Unemployed,0.0,Suburban,Single,64,3.0,26,1,Personal Auto,Personal L3,Offer4,Call Center,744.924331,Four-Door Car,Medsize,0,west_region,January,2011-01-18
2,Washington,M,14947.9173,0.0,No,Basic,Bachelor,2011-02-10,Employed,22139.0,Suburban,Single,100,34.0,31,2,Personal Auto,Personal L3,Offer3,Call Center,480.0,SUV,Medsize,A,east,February,2011-02-10
3,Oregon,M,22332.43946,0.0,Yes,Extended,College,2011-01-11,Employed,49078.0,Suburban,Single,97,10.0,3,2,Corporate Auto,Corporate L3,Offer2,Branch,484.013411,Four-Door Car,Medsize,A,north_west,January,2011-01-11
4,Oregon,F,9025.067525,0.0,No,Premium,Bachelor,2011-01-17,Medical Leave,23675.0,Suburban,Married,117,15.0,31,7,Personal Auto,Personal L2,Offer1,Branch,707.925645,Four-Door Car,Medsize,0,north_west,January,2011-01-17
5,0,M,4745.181764,0.0,0,Basic,High School or Below,2011-02-14,Employed,50549.0,Suburban,Divorced,61,2.0,73,7,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,Medsize,A,0,February,2011-02-14
6,California,F,5035.035257,3.0,No,Basic,Doctor,2011-02-14,Employed,37405.0,Urban,Married,63,8.0,99,4,Corporate Auto,Corporate L2,Offer2,Branch,287.556107,Four-Door Car,Medsize,0,west_region,February,2011-02-14
7,California,M,4956.247235,0.0,No,Basic,High School or Below,2011-02-24,Employed,87197.0,Urban,Single,63,35.0,45,3,Personal Auto,Personal L2,Offer2,Branch,247.402353,Two-Door Car,Medsize,0,west_region,February,2011-02-24
8,California,M,5989.773931,0.0,Yes,Premium,College,2011-01-19,Employed,66839.0,Suburban,Single,154,33.0,24,1,Personal Auto,Personal L1,Offer2,Branch,739.2,Sports Car,Medsize,0,west_region,January,2011-01-19
9,Oregon,F,17114.32815,0.0,No,Extended,Master,2011-01-04,Employed,70961.0,Suburban,Married,85,19.0,8,2,Corporate Auto,Corporate L3,Offer2,Agent,408.0,Four-Door Car,Small,0,north_west,January,2011-01-04
10,Arizona,M,5154.764074,0.0,No,Extended,High School or Below,2011-01-02,Employed,82730.0,Urban,Married,127,13.0,31,1,Corporate Auto,Corporate L3,Offer2,Branch,442.521087,SUV,Large,A,central,January,2011-01-02
11,0,M,2420.711888,0.0,0,Basic,Bachelor,2011-02-07,Employed,31710.0,Urban,Divorced,62,5.0,29,1,Corporate Auto,Corporate L3,Offer1,Call Center,199.551735,Two-Door Car,Medsize,0,0,February,2011-02-07
12,Oregon,F,19955.25713,0.0,No,Extended,High School or Below,2011-01-31,Employed,69096.0,Rural,Married,99,24.0,32,2,Corporate Auto,Corporate L3,Offer1,Agent,64.669515,Four-Door Car,Medsize,0,north_west,January,2011-01-31
13,California,M,5454.587929,0.0,No,Basic,Master,2011-01-26,Employed,66334.0,Suburban,Single,69,25.0,25,4,Personal Auto,Personal L3,Offer4,Call Center,331.2,Two-Door Car,Medsize,A,west_region,January,2011-01-26
14,Arizona,M,12836.00951,0.0,No,Premium,High School or Below,2011-02-28,Unemployed,0.0,Suburban,Married,116,6.0,28,2,Personal Auto,Personal L2,Offer3,Agent,835.2,Two-Door Car,Medsize,0,central,February,2011-02-28
15,California,F,4626.801093,0.0,Yes,Basic,Master,2011-01-16,Employed,79487.0,Suburban,Divorced,114,20.0,87,1,Special Auto,Special L1,Offer2,Branch,547.2,SUV,Medsize,0,west_region,January,2011-01-16
16,California,F,5326.677654,0.0,No,Basic,High School or Below,2011-02-07,Employed,76717.0,Urban,Married,66,26.0,10,6,Personal Auto,Personal L3,Offer4,Call Center,300.528579,Two-Door Car,Large,A,west_region,February,2011-02-07
17,Oregon,M,2497.531509,0.0,No,Basic,High School or Below,2011-01-17,Unemployed,0.0,Urban,Married,69,5.0,74,1,Corporate Auto,Corporate L2,Offer2,Branch,272.381465,Two-Door Car,Medsize,A,north_west,January,2011-01-17
18,California,M,2736.352663,0.0,No,Basic,College,2011-02-14,Disabled,17533.0,Suburban,Married,73,10.0,1,1,Personal Auto,Personal L3,Offer1,Agent,350.4,Two-Door Car,Medsize,A,west_region,February,2011-02-14
19,California,F,3746.751625,1.0,Yes,Extended,College,2011-02-26,Employed,41479.0,Rural,Married,94,14.0,38,1,Personal Auto,Personal L2,Offer2,Call Center,19.575683,Two-Door Car,Large,A,west_region,February,2011-02-26
20,California,F,7247.313475,0.0,No,Basic,Bachelor,2011-02-23,Unemployed,0.0,Suburban,Single,104,9.0,58,7,Personal Auto,Personal L3,Offer1,Call Center,499.2,SUV,Medsize,A,west_region,February,2011-02-23
21,Oregon,F,6274.447705,0.0,No,Extended,High School or Below,2011-02-14,Medical Leave,13662.0,Suburban,Single,85,29.0,37,3,Personal Auto,Personal L1,Offer1,Agent,408.0,Four-Door Car,Small,0,north_west,February,2011-02-14
22,Oregon,F,15031.5645,0.0,No,Basic,College,2011-01-15,Employed,59456.0,Suburban,Married,189,11.0,7,8,Personal Auto,Personal L3,Offer2,Call Center,907.2,Luxury Car,Large,A,north_west,January,2011-01-15
23,California,M,5107.071054,0.0,No,Basic,Bachelor,2011-02-02,Employed,70174.0,Rural,Married,64,15.0,80,7,Personal Auto,Personal L2,Offer1,Agent,128.90032,Four-Door Car,Medsize,0,west_region,February,2011-02-02
24,Oregon,M,2502.209885,1.0,No,Basic,High School or Below,2011-02-15,Unemployed,0.0,Suburban,Divorced,74,26.0,95,1,Corporate Auto,Corporate L1,Offer1,Agent,355.2,Four-Door Car,Medsize,A,north_west,February,2011-02-15
25,Nevada,M,9521.222806,0.0,No,Extended,College,2011-01-24,Employed,27769.0,Rural,Married,121,24.0,78,6,Special Auto,Special L3,Offer4,Agent,123.15416,SUV,Small,A,central,January,2011-01-24
26,Arizona,F,8869.619888,0.0,No,Basic,College,2011-02-21,Employed,81350.0,Rural,Married,110,1.0,28,9,Personal Auto,Personal L3,Offer3,Branch,228.185834,SUV,Large,A,central,February,2011-02-21
27,Oregon,F,4376.363592,0.0,Yes,Premium,Bachelor,2011-02-28,Employed,63774.0,Rural,Divorced,111,18.0,63,1,Personal Auto,Personal L3,Offer2,Agent,60.036683,Four-Door Car,Medsize,0,north_west,February,2011-02-28
28,Nevada,F,2926.886293,0.0,No,Basic,College,2011-02-22,Employed,92381.0,Urban,Married,72,24.0,27,1,Special Auto,Special L2,Offer2,Call Center,234.774747,Four-Door Car,Medsize,A,central,February,2011-02-22
29,California,M,24706.92011,0.0,No,Basic,High School or Below,2011-01-07,Medical Leave,26307.0,Urban,Married,73,26.0,1,2,Personal Auto,Personal L2,Offer4,Call Center,313.192439,Four-Door Car,Medsize,0,west_region,January,2011-01-07
30,California,F,8491.465719,0.0,No,Premium,High School or Below,2011-01-28,Unemployed,0.0,Suburban,Single,116,3.0,97,3,Personal Auto,Personal L3,Offer1,Branch,1193.115879,Four-Door Car,Large,A,west_region,January,2011-01-28
31,California,F,9191.733549,0.0,No,Basic,Master,2011-02-08,Employed,23823.0,Suburban,Married,115,5.0,39,6,Corporate Auto,Corporate L2,Offer2,Branch,567.48055,Sports Car,Medsize,0,west_region,February,2011-02-08
32,Arizona,F,5776.338737,3.0,No,Premium,High School or Below,2011-01-28,Medical Leave,27510.0,Suburban,Married,159,5.0,28,1,Corporate Auto,Corporate L3,Offer1,Call Center,871.457982,SUV,Small,A,central,January,2011-01-28
33,California,F,9115.57169,0.0,No,Basic,Bachelor,2011-02-15,Employed,69588.0,Rural,Married,114,19.0,45,6,Personal Auto,Personal L1,Offer1,Branch,173.080024,SUV,Medsize,0,west_region,February,2011-02-15
34,California,F,4163.04081,0.0,No,Basic,College,2011-02-12,Employed,43276.0,Suburban,Married,104,16.0,11,1,Personal Auto,Personal L3,Offer2,Call Center,499.2,SUV,Large,0,west_region,February,2011-02-12
35,California,F,5264.642009,0.0,No,Basic,College,2011-02-20,Unemployed,0.0,Rural,Divorced,72,30.0,26,8,Special Auto,Special L3,Offer1,Branch,135.888306,Four-Door Car,Medsize,0,west_region,February,2011-02-20
36,California,M,3945.241604,0.0,No,Basic,College,2011-01-05,Medical Leave,28855.0,Suburban,Married,101,12.0,59,1,Personal Auto,Personal L2,Offer3,Call Center,647.442031,SUV,Medsize,0,west_region,January,2011-01-05
37,Oregon,M,5176.730072,0.0,No,Basic,High School or Below,2011-02-07,Employed,41533.0,Urban,Married,65,2.0,46,9,Corporate Auto,Corporate L2,Offer3,Agent,232.879766,Four-Door Car,Medsize,0,north_west,February,2011-02-07
38,Arizona,F,4492.23348,1.0,No,Basic,Bachelor,2011-01-28,Medical Leave,21137.0,Suburban,Single,61,29.0,62,6,Personal Auto,Personal L1,Offer2,Web,292.8,Four-Door Car,Medsize,0,central,January,2011-01-28
39,Oregon,F,8470.043225,0.0,No,Extended,Bachelor,2011-02-19,Unemployed,0.0,Suburban,Single,82,1.0,13,2,Personal Auto,Personal L2,Offer2,Web,479.312226,Four-Door Car,Large,A,north_west,February,2011-02-19
40,California,F,2880.348532,0.0,No,Basic,College,2011-01-05,Employed,81565.0,Urban,Married,71,19.0,54,1,Personal Auto,Personal L2,Offer2,Branch,190.642833,Four-Door Car,Medsize,A,west_region,January,2011-01-05
41,Arizona,M,6182.618843,0.0,No,Extended,High School or Below,2011-02-07,Medical Leave,20072.0,Suburban,Married,82,35.0,51,9,Corporate Auto,Corporate L3,Offer1,Agent,473.266879,Four-Door Car,Medsize,0,central,February,2011-02-07
42,Nevada,M,9799.175061,0.0,No,Extended,College,2011-01-03,Medical Leave,22166.0,Suburban,Married,126,10.0,22,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Medsize,A,central,January,2011-01-03
43,Arizona,M,5790.565333,0.0,No,Basic,Master,2011-02-03,Employed,84551.0,Rural,Divorced,72,10.0,82,5,Personal Auto,Personal L3,Offer2,Agent,28.92584,Four-Door Car,Large,A,central,February,2011-02-03
44,Arizona,M,5041.447024,2.0,No,Basic,College,2011-01-19,Employed,61972.0,Rural,Married,64,2.0,52,5,Personal Auto,Personal L1,Offer4,Call Center,138.961963,Four-Door Car,Medsize,0,central,January,2011-01-19
45,Arizona,F,5745.94334,3.0,No,Basic,Bachelor,2011-01-22,Employed,57740.0,Urban,Married,74,30.0,87,9,Personal Auto,Personal L1,Offer3,Web,269.905129,Four-Door Car,Medsize,A,central,January,2011-01-22
46,Arizona,F,4827.77681,0.0,No,Basic,College,2011-01-17,Unemployed,0.0,Suburban,Single,68,29.0,91,6,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Medsize,0,central,January,2011-01-17
47,California,M,7664.219255,1.0,No,Basic,College,2011-01-23,Employed,60184.0,Rural,Divorced,199,7.0,44,1,Personal Auto,Personal L3,Offer2,Web,161.61574,Luxury SUV,Medsize,0,west_region,January,2011-01-23
48,California,F,3593.12645,1.0,No,Extended,College,2011-02-05,Disabled,18213.0,Suburban,Divorced,96,12.0,43,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,A,west_region,February,2011-02-05
49,Nevada,F,9863.502214,0.0,No,Extended,Master,2011-02-28,Employed,99654.0,Rural,Married,121,13.0,95,3,Personal Auto,Personal L3,Offer3,Call Center,272.788141,SUV,Medsize,A,central,February,2011-02-28
50,California,F,5111.304579,0.0,No,Basic,High School or Below,2011-02-13,Employed,76448.0,Suburban,Married,63,9.0,13,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,A,west_region,February,2011-02-13
51,Arizona,M,2590.096027,0.0,No,Basic,High School or Below,2011-01-03,Employed,22398.0,Suburban,Married,67,15.0,76,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,A,central,January,2011-01-03
52,Arizona,F,2452.491364,1.0,No,Basic,High School or Below,2011-01-25,Employed,51085.0,Suburban,Married,62,4.0,58,1,Personal Auto,Personal L3,Offer3,Call Center,406.902001,Two-Door Car,Small,0,central,January,2011-01-25
53,Oregon,M,2194.668123,0.0,No,Basic,College,2011-01-02,Unemployed,0.0,Suburban,Single,62,11.0,48,1,Personal Auto,Personal L3,Offer4,Call Center,623.525433,Four-Door Car,Medsize,0,north_west,January,2011-01-02
54,California,F,4473.883999,0.0,No,Extended,High School or Below,2011-02-16,Unemployed,0.0,Suburban,Divorced,125,2.0,84,1,Personal Auto,Personal L1,Offer1,Branch,600.0,SUV,Medsize,0,west_region,February,2011-02-16
55,Arizona,F,19435.62924,0.0,No,Extended,High School or Below,2011-02-01,Employed,38688.0,Suburban,Single,249,22.0,6,3,Special Auto,Special L3,Offer1,Agent,2294.631639,Luxury Car,Medsize,A,central,February,2011-02-01
56,Oregon,F,2457.576007,0.0,No,Basic,High School or Below,2011-01-27,Employed,52926.0,Suburban,Married,61,2.0,92,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,0,north_west,January,2011-01-27
57,Oregon,M,6870.607058,0.0,No,Premium,College,2011-01-24,Unemployed,0.0,Suburban,Single,105,5.0,87,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,A,north_west,January,2011-01-24
58,0,M,14019.83314,0.0,0,Basic,College,2011-02-18,Employed,31739.0,Suburban,Divorced,71,10.0,29,2,Personal Auto,Personal L3,Offer4,Call Center,469.882367,Two-Door Car,Small,0,0,February,2011-02-18
59,Arizona,M,5575.751228,0.0,No,Basic,High School or Below,2011-01-26,Employed,91416.0,Rural,Married,69,15.0,39,5,Personal Auto,Personal L3,Offer2,Call Center,109.904496,Four-Door Car,Medsize,0,central,January,2011-01-26
60,Oregon,M,5651.396772,1.0,No,Basic,Bachelor,2011-01-19,Employed,44634.0,Suburban,Married,71,16.0,99,9,Personal Auto,Personal L3,Offer1,Branch,396.035334,Four-Door Car,Small,A,north_west,January,2011-01-19
61,California,M,4556.068318,0.0,No,Basic,Bachelor,2011-02-14,Medical Leave,25617.0,Suburban,Divorced,63,22.0,3,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A,west_region,February,2011-02-14
